ds,y,AWND_x,PRCP_x,SNWD_x,SNOW_x,TMAX_x,TMIN_x,AWND_y,PRCP_y,SNWD_y,SNOW_y,TMAX_y,TMIN_y
2017-01-01,54,6.93,0.01,0.0,0.0,46.0,43.0,6.93,0.01,0.0,0.0,46.0,43.0
2017-01-02,45,5.37,0.2,0.0,0.0,56.0,45.0,5.37,0.2,0.0,0.0,56.0,45.0
2017-01-03,49,7.61,0.0,0.0,0.0,57.0,40.0,7.61,0.0,0.0,0.0,57.0,40.0
2017-01-04,48,9.62,0.0,0.0,0.0,41.0,26.0,9.62,0.0,0.0,0.0,41.0,26.0
2017-01-05,39,8.5,0.0,0.0,0.0,37.0,29.0,8.5,0.0,0.0,0.0,37.0,29.0
2017-01-06,30,12.75,0.01,0.0,0.2,29.0,18.0,12.75,0.01,0.0,0.2,29.0,18.0
2017-01-07,35,5.37,0.0,0.0,0.0,31.0,12.0,5.37,0.0,0.0,0.0,31.0,12.0
2017-01-08,38,4.03,0.0,0.0,0.0,33.0,13.0,4.03,0.0,0.0,0.0,33.0,13.0
2017-01-09,48,7.38,0.0,0.0,0.0,50.0,20.0,7.38,0.0,0.0,0.0,50.0,20.0
2017-01-10,51,11.86,0.03,0.0,0.0,71.0,50.0,11.86,0.03,0.0,0.0,71.0,50.0
2017-01-11,47,14.32,0.0,0.0,0.0,73.0,55.0,14.32,0.0,0.0,0.0,73.0,55.0
2017-01-12,51,12.08,0.0,0.0,0.0,75.0,54.0,12.08,0.0,0.0,0.0,75.0,54.0
2017-01-13,31,9.17,0.01,0.0,0.0,54.0,39.0,9.17,0.01,0.0,0.0,54.0,39.0
2017-01-14,33,4.92,0.03,0.0,0.0,46.0,39.0,4.92,0.03,0.0,0.0,46.0,39.0
2017-01-15,37,7.61,0.0,0.0,0.0,46.0,41.0,7.61,0.0,0.0,0.0,46.0,41.0
2017-01-16,42,7.83,0.51,0.0,0.0,67.0,44.0,7.83,0.51,0.0,0.0,67.0,44.0
2017-01-17,61,7.38,0.0,0.0,0.0,57.0,46.0,7.38,0.0,0.0,0.0,57.0,46.0
2017-01-18,40,6.71,0.05,0.0,0.0,49.0,43.0,6.71,0.05,0.0,0.0,49.0,43.0
2017-01-19,40,3.58,0.36,0.0,0.0,54.0,46.0,3.58,0.36,0.0,0.0,54.0,46.0
2017-01-20,35,7.61,0.0,0.0,0.0,69.0,48.0,7.61,0.0,0.0,0.0,69.0,48.0
2017-01-21,45,5.14,0.16,0.0,0.0,69.0,45.0,5.14,0.16,0.0,0.0,69.0,45.0
2017-01-22,31,10.07,0.1,0.0,0.0,56.0,48.0,10.07,0.1,0.0,0.0,56.0,48.0
2017-01-23,54,9.17,0.0,0.0,0.0,57.0,39.0,9.17,0.0,0.0,0.0,57.0,39.0
2017-01-24,40,6.71,0.0,0.0,0.0,66.0,34.0,6.71,0.0,0.0,0.0,66.0,34.0
2017-01-25,46,12.08,0.0,0.0,0.0,62.0,43.0,12.08,0.0,0.0,0.0,62.0,43.0
2017-01-26,45,11.18,0.0,0.0,0.0,48.0,34.0,11.18,0.0,0.0,0.0,48.0,34.0
2017-01-27,41,10.51,0.0,0.0,0.0,52.0,27.0,10.51,0.0,0.0,0.0,52.0,27.0
2017-01-28,54,9.62,0.0,0.0,0.0,56.0,30.0,9.62,0.0,0.0,0.0,56.0,30.0
2017-01-29,49,9.17,0.0,0.0,0.0,57.0,36.0,9.17,0.0,0.0,0.0,57.0,36.0
2017-01-30,47,6.04,0.0,0.0,0.0,68.0,31.0,6.04,0.0,0.0,0.0,68.0,31.0
