state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,params
2,282,,"{'loss': 7.952726462267565, 'status': 'ok'}","{'tid': 282, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [282], 'd_hidden': [282], 'learning_rate': [282], 'num_hidden_layers': [282], 'seasonality_reg': [282], 'trend_reg': [282]}, 'vals': {'ar_reg': [0.00325133799075842], 'd_hidden': [21.0], 'learning_rate': [0.0010380981438824243], 'num_hidden_layers': [22.0], 'seasonality_reg': [2.087540916891761], 'trend_reg': [0.012092073216673523]}}",,,0,2023-05-16 11:24:03.315,2023-05-16 11:24:48.080,7.952726462267565,"{'ar_reg': [0.00325133799075842], 'd_hidden': [21.0], 'learning_rate': [0.0010380981438824243], 'num_hidden_layers': [22.0], 'seasonality_reg': [2.087540916891761], 'trend_reg': [0.012092073216673523]}"
2,710,,"{'loss': 7.965431261001988, 'status': 'ok'}","{'tid': 710, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [710], 'd_hidden': [710], 'learning_rate': [710], 'num_hidden_layers': [710], 'seasonality_reg': [710], 'trend_reg': [710]}, 'vals': {'ar_reg': [0.0003651410237126328], 'd_hidden': [8.0], 'learning_rate': [0.002069956146087923], 'num_hidden_layers': [26.0], 'seasonality_reg': [0.20612431506465548], 'trend_reg': [0.006665250175704419]}}",,,0,2023-05-16 16:54:14.707,2023-05-16 16:55:01.875,7.965431261001988,"{'ar_reg': [0.0003651410237126328], 'd_hidden': [8.0], 'learning_rate': [0.002069956146087923], 'num_hidden_layers': [26.0], 'seasonality_reg': [0.20612431506465548], 'trend_reg': [0.006665250175704419]}"
2,421,,"{'loss': 7.977191568218582, 'status': 'ok'}","{'tid': 421, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [421], 'd_hidden': [421], 'learning_rate': [421], 'num_hidden_layers': [421], 'seasonality_reg': [421], 'trend_reg': [421]}, 'vals': {'ar_reg': [0.0005482991410479293], 'd_hidden': [16.0], 'learning_rate': [0.0013844068944020736], 'num_hidden_layers': [22.0], 'seasonality_reg': [0.06562551203296457], 'trend_reg': [0.0015703397106323982]}}",,,0,2023-05-16 13:08:23.501,2023-05-16 13:09:08.645,7.977191568218582,"{'ar_reg': [0.0005482991410479293], 'd_hidden': [16.0], 'learning_rate': [0.0013844068944020736], 'num_hidden_layers': [22.0], 'seasonality_reg': [0.06562551203296457], 'trend_reg': [0.0015703397106323982]}"
2,428,,"{'loss': 7.999246643038412, 'status': 'ok'}","{'tid': 428, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [428], 'd_hidden': [428], 'learning_rate': [428], 'num_hidden_layers': [428], 'seasonality_reg': [428], 'trend_reg': [428]}, 'vals': {'ar_reg': [0.0004179323781338972], 'd_hidden': [20.0], 'learning_rate': [0.0012103039136371634], 'num_hidden_layers': [22.0], 'seasonality_reg': [0.011454464852761406], 'trend_reg': [0.005968681106556948]}}",,,0,2023-05-16 13:13:38.731,2023-05-16 13:14:24.025,7.999246643038412,"{'ar_reg': [0.0004179323781338972], 'd_hidden': [20.0], 'learning_rate': [0.0012103039136371634], 'num_hidden_layers': [22.0], 'seasonality_reg': [0.011454464852761406], 'trend_reg': [0.005968681106556948]}"
2,499,,"{'loss': 8.005541292397957, 'status': 'ok'}","{'tid': 499, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [499], 'd_hidden': [499], 'learning_rate': [499], 'num_hidden_layers': [499], 'seasonality_reg': [499], 'trend_reg': [499]}, 'vals': {'ar_reg': [0.00010492641468320587], 'd_hidden': [11.0], 'learning_rate': [0.0019607303243605466], 'num_hidden_layers': [24.0], 'seasonality_reg': [4.599737745935854], 'trend_reg': [0.0016937058422273306]}}",,,0,2023-05-16 14:06:54.686,2023-05-16 14:07:39.353,8.005541292397957,"{'ar_reg': [0.00010492641468320587], 'd_hidden': [11.0], 'learning_rate': [0.0019607303243605466], 'num_hidden_layers': [24.0], 'seasonality_reg': [4.599737745935854], 'trend_reg': [0.0016937058422273306]}"
2,609,,"{'loss': 8.010204996559647, 'status': 'ok'}","{'tid': 609, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [609], 'd_hidden': [609], 'learning_rate': [609], 'num_hidden_layers': [609], 'seasonality_reg': [609], 'trend_reg': [609]}, 'vals': {'ar_reg': [0.0009947297618877761], 'd_hidden': [12.0], 'learning_rate': [0.002804640783781501], 'num_hidden_layers': [15.0], 'seasonality_reg': [0.20217492844038362], 'trend_reg': [0.00631468571065339]}}",,,0,2023-05-16 15:30:25.668,2023-05-16 15:31:18.704,8.010204996559647,"{'ar_reg': [0.0009947297618877761], 'd_hidden': [12.0], 'learning_rate': [0.002804640783781501], 'num_hidden_layers': [15.0], 'seasonality_reg': [0.20217492844038362], 'trend_reg': [0.00631468571065339]}"
2,773,,"{'loss': 8.027825996508678, 'status': 'ok'}","{'tid': 773, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [773], 'd_hidden': [773], 'learning_rate': [773], 'num_hidden_layers': [773], 'seasonality_reg': [773], 'trend_reg': [773]}, 'vals': {'ar_reg': [0.0008913308764860152], 'd_hidden': [17.0], 'learning_rate': [0.0021228310296865782], 'num_hidden_layers': [26.0], 'seasonality_reg': [0.5819280486583991], 'trend_reg': [0.000744825005733588]}}",,,0,2023-05-16 17:46:17.191,2023-05-16 17:47:10.948,8.027825996508678,"{'ar_reg': [0.0008913308764860152], 'd_hidden': [17.0], 'learning_rate': [0.0021228310296865782], 'num_hidden_layers': [26.0], 'seasonality_reg': [0.5819280486583991], 'trend_reg': [0.000744825005733588]}"
2,328,,"{'loss': 8.028834620597143, 'status': 'ok'}","{'tid': 328, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [328], 'd_hidden': [328], 'learning_rate': [328], 'num_hidden_layers': [328], 'seasonality_reg': [328], 'trend_reg': [328]}, 'vals': {'ar_reg': [0.00020216760071866712], 'd_hidden': [7.0], 'learning_rate': [0.0025367741295204338], 'num_hidden_layers': [17.0], 'seasonality_reg': [0.9449721112124239], 'trend_reg': [0.0033821183072815326]}}",,,0,2023-05-16 11:58:35.225,2023-05-16 11:59:20.605,8.028834620597143,"{'ar_reg': [0.00020216760071866712], 'd_hidden': [7.0], 'learning_rate': [0.0025367741295204338], 'num_hidden_layers': [17.0], 'seasonality_reg': [0.9449721112124239], 'trend_reg': [0.0033821183072815326]}"
2,625,,"{'loss': 8.031637035433253, 'status': 'ok'}","{'tid': 625, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [625], 'd_hidden': [625], 'learning_rate': [625], 'num_hidden_layers': [625], 'seasonality_reg': [625], 'trend_reg': [625]}, 'vals': {'ar_reg': [0.00021391769901828726], 'd_hidden': [18.0], 'learning_rate': [0.003500763017939609], 'num_hidden_layers': [17.0], 'seasonality_reg': [0.9362276930701924], 'trend_reg': [0.002061694206091268]}}",,,0,2023-05-16 15:44:08.453,2023-05-16 15:44:54.048,8.031637035433253,"{'ar_reg': [0.00021391769901828726], 'd_hidden': [18.0], 'learning_rate': [0.003500763017939609], 'num_hidden_layers': [17.0], 'seasonality_reg': [0.9362276930701924], 'trend_reg': [0.002061694206091268]}"
2,739,,"{'loss': 8.032104083628424, 'status': 'ok'}","{'tid': 739, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [739], 'd_hidden': [739], 'learning_rate': [739], 'num_hidden_layers': [739], 'seasonality_reg': [739], 'trend_reg': [739]}, 'vals': {'ar_reg': [0.0008421330126340144], 'd_hidden': [6.0], 'learning_rate': [0.0013340033907545828], 'num_hidden_layers': [23.0], 'seasonality_reg': [0.0680025436651174], 'trend_reg': [0.11152867595553696]}}",,,0,2023-05-16 17:16:45.308,2023-05-16 17:17:30.227,8.032104083628424,"{'ar_reg': [0.0008421330126340144], 'd_hidden': [6.0], 'learning_rate': [0.0013340033907545828], 'num_hidden_layers': [23.0], 'seasonality_reg': [0.0680025436651174], 'trend_reg': [0.11152867595553696]}"
