state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,params,parameters
2,77,,"{'loss': 8.244842208444165, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0999845875921483, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=8.208194771625607, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=7.0, d_hidden=8.0, ar_reg=6.829033176842731, learning_rate=0.0029523339980869704, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 77, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [77], 'd_hidden': [77], 'learning_rate': [77], 'num_hidden_layers': [77], 'seasonality_reg': [77], 'trend_reg': [77]}, 'vals': {'ar_reg': [6.829033176842731], 'd_hidden': [8.0], 'learning_rate': [0.0029523339980869704], 'num_hidden_layers': [7.0], 'seasonality_reg': [8.208194771625607], 'trend_reg': [0.0999845875921483]}}",,,0,2023-05-18 03:01:19.102,2023-05-18 03:02:05.243,8.244842208444165,"{'ar_reg': [6.829033176842731], 'd_hidden': [8.0], 'learning_rate': [0.0029523339980869704], 'num_hidden_layers': [7.0], 'seasonality_reg': [8.208194771625607], 'trend_reg': [0.0999845875921483]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0999845875921483, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=8.208194771625607, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=7.0, d_hidden=8.0, ar_reg=6.829033176842731, learning_rate=0.0029523339980869704, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,700,,"{'loss': 8.244864681003051, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0034033315292011355, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=9.91211820646595, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=6.0, d_hidden=36.0, ar_reg=2.100151161045199, learning_rate=0.0029608755987543364, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 700, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [700], 'd_hidden': [700], 'learning_rate': [700], 'num_hidden_layers': [700], 'seasonality_reg': [700], 'trend_reg': [700]}, 'vals': {'ar_reg': [2.100151161045199], 'd_hidden': [36.0], 'learning_rate': [0.0029608755987543364], 'num_hidden_layers': [6.0], 'seasonality_reg': [9.91211820646595], 'trend_reg': [0.0034033315292011355]}}",,,0,2023-05-18 10:40:05.275,2023-05-18 10:40:44.675,8.244864681003051,"{'ar_reg': [2.100151161045199], 'd_hidden': [36.0], 'learning_rate': [0.0029608755987543364], 'num_hidden_layers': [6.0], 'seasonality_reg': [9.91211820646595], 'trend_reg': [0.0034033315292011355]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0034033315292011355, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=9.91211820646595, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=6.0, d_hidden=36.0, ar_reg=2.100151161045199, learning_rate=0.0029608755987543364, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,402,,"{'loss': 8.245077646018672, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.01426190208312895, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=9.975185516704409, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=2.0, d_hidden=28.0, ar_reg=3.130900259395774, learning_rate=0.0029953883797338428, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 402, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [402], 'd_hidden': [402], 'learning_rate': [402], 'num_hidden_layers': [402], 'seasonality_reg': [402], 'trend_reg': [402]}, 'vals': {'ar_reg': [3.130900259395774], 'd_hidden': [28.0], 'learning_rate': [0.0029953883797338428], 'num_hidden_layers': [2.0], 'seasonality_reg': [9.975185516704409], 'trend_reg': [0.01426190208312895]}}",,,0,2023-05-18 07:12:37.008,2023-05-18 07:13:24.838,8.245077646018672,"{'ar_reg': [3.130900259395774], 'd_hidden': [28.0], 'learning_rate': [0.0029953883797338428], 'num_hidden_layers': [2.0], 'seasonality_reg': [9.975185516704409], 'trend_reg': [0.01426190208312895]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.01426190208312895, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=9.975185516704409, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=2.0, d_hidden=28.0, ar_reg=3.130900259395774, learning_rate=0.0029953883797338428, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,708,,"{'loss': 8.245537072125783, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0008526337430846255, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=9.802851080912651, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=4.0, d_hidden=20.0, ar_reg=0.3728270120955131, learning_rate=0.0028747926711404997, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 708, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [708], 'd_hidden': [708], 'learning_rate': [708], 'num_hidden_layers': [708], 'seasonality_reg': [708], 'trend_reg': [708]}, 'vals': {'ar_reg': [0.3728270120955131], 'd_hidden': [20.0], 'learning_rate': [0.0028747926711404997], 'num_hidden_layers': [4.0], 'seasonality_reg': [9.802851080912651], 'trend_reg': [0.0008526337430846255]}}",,,0,2023-05-18 10:45:23.843,2023-05-18 10:46:03.490,8.245537072125783,"{'ar_reg': [0.3728270120955131], 'd_hidden': [20.0], 'learning_rate': [0.0028747926711404997], 'num_hidden_layers': [4.0], 'seasonality_reg': [9.802851080912651], 'trend_reg': [0.0008526337430846255]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0008526337430846255, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=9.802851080912651, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=4.0, d_hidden=20.0, ar_reg=0.3728270120955131, learning_rate=0.0028747926711404997, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,787,,"{'loss': 8.24558496867814, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.010361785205096365, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=6.369320653772164, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=8.0, d_hidden=40.0, ar_reg=7.334165782949526, learning_rate=0.0030196303036955437, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 787, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [787], 'd_hidden': [787], 'learning_rate': [787], 'num_hidden_layers': [787], 'seasonality_reg': [787], 'trend_reg': [787]}, 'vals': {'ar_reg': [7.334165782949526], 'd_hidden': [40.0], 'learning_rate': [0.0030196303036955437], 'num_hidden_layers': [8.0], 'seasonality_reg': [6.369320653772164], 'trend_reg': [0.010361785205096365]}}",,,0,2023-05-18 11:37:54.034,2023-05-18 11:38:33.952,8.24558496867814,"{'ar_reg': [7.334165782949526], 'd_hidden': [40.0], 'learning_rate': [0.0030196303036955437], 'num_hidden_layers': [8.0], 'seasonality_reg': [6.369320653772164], 'trend_reg': [0.010361785205096365]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.010361785205096365, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=6.369320653772164, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=8.0, d_hidden=40.0, ar_reg=7.334165782949526, learning_rate=0.0030196303036955437, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,796,,"{'loss': 8.2458266365309, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.007640361160054983, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=6.796030549626472, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=7.0, d_hidden=49.0, ar_reg=9.719397551263917, learning_rate=0.0028566338782150874, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 796, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [796], 'd_hidden': [796], 'learning_rate': [796], 'num_hidden_layers': [796], 'seasonality_reg': [796], 'trend_reg': [796]}, 'vals': {'ar_reg': [9.719397551263917], 'd_hidden': [49.0], 'learning_rate': [0.0028566338782150874], 'num_hidden_layers': [7.0], 'seasonality_reg': [6.796030549626472], 'trend_reg': [0.007640361160054983]}}",,,0,2023-05-18 11:43:53.395,2023-05-18 11:44:33.210,8.2458266365309,"{'ar_reg': [9.719397551263917], 'd_hidden': [49.0], 'learning_rate': [0.0028566338782150874], 'num_hidden_layers': [7.0], 'seasonality_reg': [6.796030549626472], 'trend_reg': [0.007640361160054983]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.007640361160054983, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=6.796030549626472, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=7.0, d_hidden=49.0, ar_reg=9.719397551263917, learning_rate=0.0028566338782150874, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,594,,"{'loss': 8.245850334216527, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0009998383904367082, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=4.6921817359292, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=10.0, d_hidden=38.0, ar_reg=2.8503364635134445, learning_rate=0.0029970542849868205, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 594, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [594], 'd_hidden': [594], 'learning_rate': [594], 'num_hidden_layers': [594], 'seasonality_reg': [594], 'trend_reg': [594]}, 'vals': {'ar_reg': [2.8503364635134445], 'd_hidden': [38.0], 'learning_rate': [0.0029970542849868205], 'num_hidden_layers': [10.0], 'seasonality_reg': [4.6921817359292], 'trend_reg': [0.0009998383904367082]}}",,,0,2023-05-18 09:29:40.523,2023-05-18 09:30:20.316,8.245850334216527,"{'ar_reg': [2.8503364635134445], 'd_hidden': [38.0], 'learning_rate': [0.0029970542849868205], 'num_hidden_layers': [10.0], 'seasonality_reg': [4.6921817359292], 'trend_reg': [0.0009998383904367082]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0009998383904367082, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=4.6921817359292, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=10.0, d_hidden=38.0, ar_reg=2.8503364635134445, learning_rate=0.0029970542849868205, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,587,,"{'loss': 8.246007416378541, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0036441654466712404, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=8.76385513158195, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=9.0, d_hidden=38.0, ar_reg=6.381282412386886, learning_rate=0.0028432063921550845, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 587, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [587], 'd_hidden': [587], 'learning_rate': [587], 'num_hidden_layers': [587], 'seasonality_reg': [587], 'trend_reg': [587]}, 'vals': {'ar_reg': [6.381282412386886], 'd_hidden': [38.0], 'learning_rate': [0.0028432063921550845], 'num_hidden_layers': [9.0], 'seasonality_reg': [8.76385513158195], 'trend_reg': [0.0036441654466712404]}}",,,0,2023-05-18 09:25:02.551,2023-05-18 09:25:42.134,8.246007416378541,"{'ar_reg': [6.381282412386886], 'd_hidden': [38.0], 'learning_rate': [0.0028432063921550845], 'num_hidden_layers': [9.0], 'seasonality_reg': [8.76385513158195], 'trend_reg': [0.0036441654466712404]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.0036441654466712404, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=8.76385513158195, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=9.0, d_hidden=38.0, ar_reg=6.381282412386886, learning_rate=0.0028432063921550845, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,791,,"{'loss': 8.246093944395493, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.00978801118614295, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=7.866436528478452, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=9.0, d_hidden=45.0, ar_reg=6.787624651161564, learning_rate=0.003059686039314044, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 791, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [791], 'd_hidden': [791], 'learning_rate': [791], 'num_hidden_layers': [791], 'seasonality_reg': [791], 'trend_reg': [791]}, 'vals': {'ar_reg': [6.787624651161564], 'd_hidden': [45.0], 'learning_rate': [0.003059686039314044], 'num_hidden_layers': [9.0], 'seasonality_reg': [7.866436528478452], 'trend_reg': [0.00978801118614295]}}",,,0,2023-05-18 11:40:33.725,2023-05-18 11:41:13.689,8.246093944395493,"{'ar_reg': [6.787624651161564], 'd_hidden': [45.0], 'learning_rate': [0.003059686039314044], 'num_hidden_layers': [9.0], 'seasonality_reg': [7.866436528478452], 'trend_reg': [0.00978801118614295]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.00978801118614295, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=7.866436528478452, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=9.0, d_hidden=45.0, ar_reg=6.787624651161564, learning_rate=0.003059686039314044, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
2,431,,"{'loss': 8.246111222973406, 'status': 'ok', 'parameters': 'growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.005653980718759969, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=5.008306371097904, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=12.0, d_hidden=37.0, ar_reg=4.565148900155042, learning_rate=0.0030245291236276825, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, '}","{'tid': 431, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'ar_reg': [431], 'd_hidden': [431], 'learning_rate': [431], 'num_hidden_layers': [431], 'seasonality_reg': [431], 'trend_reg': [431]}, 'vals': {'ar_reg': [4.565148900155042], 'd_hidden': [37.0], 'learning_rate': [0.0030245291236276825], 'num_hidden_layers': [12.0], 'seasonality_reg': [5.008306371097904], 'trend_reg': [0.005653980718759969]}}",,,0,2023-05-18 07:35:43.685,2023-05-18 07:36:31.737,8.246111222973406,"{'ar_reg': [4.565148900155042], 'd_hidden': [37.0], 'learning_rate': [0.0030245291236276825], 'num_hidden_layers': [12.0], 'seasonality_reg': [5.008306371097904], 'trend_reg': [0.005653980718759969]}","growth=linear, changepoints=None, n_changepoints=10, changepoints_range=0.8, trend_reg=0.005653980718759969, trend_reg_threshold=False, trend_global_local=global, yearly_seasonality=auto, weekly_seasonality=auto, daily_seasonality=auto, seasonality_mode=additive, seasonality_reg=5.008306371097904, season_global_local=global, n_forecasts=1, n_lags=0, num_hidden_layers=12.0, d_hidden=37.0, ar_reg=4.565148900155042, learning_rate=0.0030245291236276825, epochs=None, batch_size=None, loss_func=Huber, optimizer=AdamW, newer_samples_weight=2, newer_samples_start=0.0, quantiles=[], impute_missing=True, impute_linear=10, impute_rolling=10, drop_missing=False, collect_metrics=True, normalize=auto, global_normalization=False, global_time_normalization=True, unknown_data_normalization=False, accelerator=None, trainer_config={}, prediction_frequency=None, "
